Kundenname,Alter,Zahlungsmethode,ø Preis,Menge,Datum,Uhrzeit
Knud Mühle B.A.,33,EC-Karte,25.99,2,13.07.2022,14:31:16
Ing. Cecilia Eberhardt B.Sc.,30,EC-Karte,25.99,2,13.07.2022,15:09:25
Reinhardt Scholtz,25,Kreditkarte,20.99,1,13.07.2022,15:15:32
Ariane Wende B.Sc.,40,Bar,41.99,4,13.07.2022,15:15:50
Prof. Herma Lorch B.A.,24,EC-Karte,13.99,3,13.07.2022,15:46:16
Sibel Hesse B.Eng.,47,Bar,39.99,5,13.07.2022,16:14:38
Marica Zorbach,60,Kreditkarte,43.99,5,13.07.2022,16:25:09
Ing. Birgid Seifert,22,EC-Karte,21.99,3,13.07.2022,16:28:41
Horst-Günter Wirth,62,Bar,40.99,4,13.07.2022,16:32:51
Frederic Killer B.Sc.,29,Bar,22.99,1,13.07.2022,17:18:31
Alfred Hahn-Kambs,27,EC-Karte,18.99,2,13.07.2022,17:38:47
Johann Jäkel,33,Bar,22.99,1,13.07.2022,18:07:44
Nadeschda Mude-Reinhardt,65,EC-Karte,34.99,6,13.07.2022,18:20:06
Dr. Romana Pergande,31,Bar,19.99,1,13.07.2022,18:31:00
Manfred Tröst,28,Kreditkarte,20.99,2,13.07.2022,18:32:19
Manfred Börner,48,Bar,41.99,5,13.07.2022,19:03:06
Cosimo Müller,23,Bar,21.99,2,14.07.2022,10:00:48
Univ.Prof. Dunja Etzler,63,Bar,50.99,4,14.07.2022,10:41:00
Constance Krebs-Bachmann,55,Kreditkarte,39.99,4,14.07.2022,11:33:54
Eugen Seifert,46,EC-Karte,36.99,4,14.07.2022,11:34:29
Nancy Hörle MBA.,65,Bar,43.99,6,14.07.2022,12:05:29
Süleyman Mude,51,Bar,35.99,8,14.07.2022,12:13:57
Dr. Günter Binner,53,Kreditkarte,45.99,5,14.07.2022,12:33:03
Arzu Junk,71,EC-Karte,38.99,2,14.07.2022,12:34:38
Karl-Werner Scheel,27,Kreditkarte,14.99,1,14.07.2022,12:46:07
Brian Haering,27,EC-Karte,26.99,4,14.07.2022,13:29:10
Ortrun Fechner,60,Kreditkarte,34.99,9,14.07.2022,14:15:19
Veit Kambs-Schinke,68,EC-Karte,43.99,4,14.07.2022,14:20:19
Dipl.-Ing. Helena Henschel,28,Bar,21.99,3,14.07.2022,14:25:38
Corina Sölzer,28,Kreditkarte,25.99,2,14.07.2022,14:54:54
Rudolph Schmiedecke-Hoffmann,29,Bar,26.99,1,14.07.2022,15:28:03
Kunigunda Förster MBA.,33,Kreditkarte,19.99,2,14.07.2022,15:52:35
Miroslav Scholl,21,Kreditkarte,18.99,2,14.07.2022,16:07:47
Franz Josef Römer,47,Bar,40.99,3,14.07.2022,16:16:22
Mariechen Döhn,37,Kreditkarte,22.99,2,14.07.2022,16:20:44
Dipl.-Ing. Jadwiga Seifert B.A.,60,Kreditkarte,43.99,4,14.07.2022,16:32:13
Elke Mälzer-Rörricht,35,Kreditkarte,22.99,3,14.07.2022,16:50:45
Dipl.-Ing. Francoise Mosemann,29,EC-Karte,11.99,3,14.07.2022,17:40:32
Egon Benthin,58,Bar,45.99,4,14.07.2022,18:36:25
Prof. Ilias Rogner B.Eng.,62,Bar,37.99,4,14.07.2022,18:39:41
Gabriel Kaul,60,EC-Karte,29.99,4,14.07.2022,18:49:13
Sandor Jähn,33,Bar,22.99,4,14.07.2022,19:02:22
Dipl.-Ing. Kati Schweitzer MBA.,23,Bar,22.99,2,14.07.2022,19:06:16
Hans-Bernd Döring,29,Kreditkarte,18.99,2,14.07.2022,19:20:51
Dominik Hoffmann,29,Bar,25.99,3,15.07.2022,10:38:51
Egbert Juncken,23,Bar,26.99,2,15.07.2022,10:41:45
Univ.Prof. Hans-Otto Carsten MBA.,30,EC-Karte,23.99,4,15.07.2022,10:42:23
Magarete Scheuermann,64,EC-Karte,37.99,5,15.07.2022,11:26:42
Willy Kreusel-Barkholz,61,EC-Karte,38.99,5,15.07.2022,11:47:16
Henrike Radisch-Stolze,35,Bar,12.99,2,15.07.2022,11:56:13
Henning Jacob,31,EC-Karte,18.99,3,15.07.2022,11:58:07
Klara Wagenknecht B.Sc.,28,EC-Karte,18.99,4,15.07.2022,12:05:04
Hanife Dussen van,63,Bar,32.99,8,15.07.2022,12:05:16
Aldo Haering,60,Kreditkarte,50.99,5,15.07.2022,12:13:51
Nada Junk,62,EC-Karte,41.99,6,15.07.2022,13:16:42
Rosa Holsten,30,Kreditkarte,20.99,5,15.07.2022,13:23:35
Franco Haering,61,Kreditkarte,31.99,4,15.07.2022,13:42:26
Marlis Benthin,33,EC-Karte,22.99,5,15.07.2022,14:35:54
Anja Kohl,51,EC-Karte,35.99,3,15.07.2022,14:40:10
Ildiko Fechner,38,EC-Karte,27.99,4,15.07.2022,14:42:38
Petra Hering,42,Bar,41.99,4,15.07.2022,15:03:32
Augusta Stolze,25,Kreditkarte,12.99,5,15.07.2022,15:44:00
Siegmar Niemeier,32,Kreditkarte,21.99,2,15.07.2022,16:16:26
Jens-Peter Bolzmann,63,Kreditkarte,39.99,5,15.07.2022,16:57:35
Dipl.-Ing. Lore Zimmer B.Eng.,25,Kreditkarte,19.99,3,15.07.2022,17:04:57
Univ.Prof. Willi Jähn MBA.,55,Kreditkarte,28.99,8,15.07.2022,17:20:48
Juergen Loos B.Sc.,23,EC-Karte,19.99,2,15.07.2022,17:31:20
Niklas Hänel,54,Kreditkarte,35.99,5,15.07.2022,17:54:10
Augusta Weihmann B.A.,29,EC-Karte,21.99,4,15.07.2022,18:08:01
Herr Heinz-Jürgen Neuschäfer,61,Bar,48.99,7,15.07.2022,18:25:29
Sylke Rose,64,Bar,37.99,4,15.07.2022,19:26:07
Frau Sarina Gude B.Eng.,34,Kreditkarte,29.99,1,16.07.2022,11:40:32
Juliane Dobes,33,Kreditkarte,18.99,2,16.07.2022,11:47:48
Gretchen Birnbaum,50,Bar,46.99,5,16.07.2022,11:51:54
Aribert Beyer,30,EC-Karte,15.99,4,16.07.2022,12:21:04
Edeltrud Dobes-Beier,56,Kreditkarte,26.99,7,16.07.2022,12:40:45
Olivia Hauffer B.A.,31,Kreditkarte,26.99,2,16.07.2022,13:05:58
Ing. Bruni Zimmer B.Sc.,23,EC-Karte,19.99,3,16.07.2022,13:06:32
Ing. Emilie Herrmann B.Eng.,32,EC-Karte,21.99,1,16.07.2022,13:23:55
Ing. Theobald Albers,28,Bar,17.99,1,16.07.2022,14:14:29
Sandro Sölzer,58,Bar,49.99,3,16.07.2022,14:32:07
Felizitas Pölitz-Ladeck,30,EC-Karte,20.99,1,16.07.2022,14:50:20
Angelina Wilms,26,Kreditkarte,20.99,5,16.07.2022,15:33:01
Augustin Gierschner B.A.,32,Bar,17.99,4,16.07.2022,15:34:14
Hanni Langern,37,Kreditkarte,18.99,3,16.07.2022,15:42:39
Silja Margraf B.A.,48,Bar,29.99,5,16.07.2022,16:04:39
Laila Lübs,57,EC-Karte,44.99,6,16.07.2022,16:46:36
Ludger Binner B.Eng.,20,Bar,21.99,1,16.07.2022,16:54:04
Myriam Heydrich,44,Bar,44.99,5,16.07.2022,17:28:42
Frau Anna-Maria Dörr MBA.,29,EC-Karte,24.99,1,16.07.2022,18:08:58
Bernard Hänel,26,Kreditkarte,20.99,2,16.07.2022,18:13:10
Univ.Prof. Walther Ruppert MBA.,34,EC-Karte,21.99,4,16.07.2022,19:04:51
Gereon Jacobi Jäckel,30,EC-Karte,18.99,3,16.07.2022,19:05:17
Sybilla Schönland-Flantz,26,EC-Karte,17.99,3,16.07.2022,19:10:26
Dr. Leopoldine Albers MBA.,25,Kreditkarte,18.99,2,16.07.2022,19:16:48
Carin Drewes-Finke,45,EC-Karte,39.99,5,16.07.2022,19:29:13
Prof. Hermann Jähn MBA.,45,Kreditkarte,33.99,6,16.07.2022,19:37:23
Liesa Jungfer,24,Kreditkarte,17.99,3,16.07.2022,19:47:23
Hubert Lorch B.A.,62,Kreditkarte,39.99,4,16.07.2022,19:58:29
André Cichorius,52,EC-Karte,39.99,7,17.07.2022,10:33:49
Heidrun Pieper,32,Bar,19.99,2,17.07.2022,10:34:45
Janus Mohaupt,42,Bar,48.99,4,17.07.2022,10:36:20
Joana Rogner,27,Bar,26.99,3,17.07.2022,10:39:36
Univ.Prof. Samuel Bohlander,53,Kreditkarte,47.99,8,17.07.2022,10:43:04
Ilonka Oderwald,50,Bar,41.99,5,17.07.2022,11:03:11
Hanne Holsten B.Sc.,51,Kreditkarte,35.99,5,17.07.2022,11:53:26
Prof. Franz Hettner,48,Kreditkarte,30.99,5,17.07.2022,12:38:55
Dipl.-Ing. Marie-Louise Salz B.Sc.,34,Bar,18.99,4,17.07.2022,13:58:52
Hubert Fechner,55,EC-Karte,29.99,2,17.07.2022,14:07:45
Prof. Claus-Peter Stumpf,28,Bar,21.99,1,17.07.2022,14:10:17
Chantal Weller B.A.,32,Bar,19.99,2,17.07.2022,14:11:14
Hildburg Hellwig,25,EC-Karte,26.99,4,17.07.2022,14:11:36
Brunhild Fröhlich,61,Bar,52.99,4,17.07.2022,14:39:39
Dr. Theodora Schomber,23,Kreditkarte,10.99,2,17.07.2022,14:49:42
Dipl.-Ing. Aleksej Trapp B.Eng.,34,Kreditkarte,18.99,6,17.07.2022,15:17:01
Fatih Bachmann,57,Bar,47.99,3,17.07.2022,15:23:17
Jacqueline Anders MBA.,32,Bar,11.99,5,17.07.2022,15:32:58
Harro Stadelmann B.Sc.,32,Bar,22.99,1,17.07.2022,16:03:27
Pavel van der Dussen,26,Kreditkarte,18.99,2,17.07.2022,16:09:52
Ing. Fred Putz B.Sc.,41,EC-Karte,9.99,1,17.07.2022,16:30:30
Norbert Vogt MBA.,29,EC-Karte,12.99,5,17.07.2022,16:30:33
Abram Budig B.Sc.,61,Bar,46.99,4,17.07.2022,16:41:20
Prof. Ingelore Haering,56,Bar,48.99,7,17.07.2022,18:16:07
Hans-Günther Hauffer,57,EC-Karte,33.99,7,17.07.2022,18:46:01
Reinhilde Jockel B.Sc.,28,Bar,15.99,3,17.07.2022,19:10:11
Undine Etzler,30,EC-Karte,20.99,2,17.07.2022,19:50:23
Prof. Camilla Thies B.A.,27,Bar,22.99,2,18.07.2022,10:00:55
Heinz-Georg Sölzer,63,EC-Karte,41.99,3,18.07.2022,10:53:49
Univ.Prof. Delia Ackermann,68,Bar,36.99,5,18.07.2022,10:56:27
Dr. Tomislav Lange B.Eng.,39,Bar,22.99,1,18.07.2022,11:09:24
Josip Kramer,54,Bar,35.99,5,18.07.2022,11:10:08
Olav Langern,56,Kreditkarte,40.99,5,18.07.2022,11:11:39
Heide-Marie Jähn,67,Bar,42.99,5,18.07.2022,11:19:11
Cosimo Gunpf,55,Bar,48.99,5,18.07.2022,12:52:43
Ing. Tibor Schacht,51,EC-Karte,36.99,3,18.07.2022,12:52:58
Jo Rogner MBA.,26,Bar,12.99,4,18.07.2022,12:56:08
Dipl.-Ing. Muzaffer Graf B.Eng.,31,Kreditkarte,19.99,1,18.07.2022,13:35:05
Raisa Bärer,54,EC-Karte,34.99,5,18.07.2022,14:34:40
Univ.Prof. Gerta Trommler B.Sc.,26,Kreditkarte,19.99,3,18.07.2022,14:36:23
Hansgeorg Rosenow,27,Kreditkarte,17.99,2,18.07.2022,14:36:30
Mehmet Schomber,56,Bar,47.99,8,18.07.2022,14:40:14
Nico Berger,52,Kreditkarte,30.99,4,18.07.2022,15:47:14
Dipl.-Ing. Sibel Sölzer B.A.,29,Bar,16.99,4,18.07.2022,15:51:49
Ing. Walter Rosemann,60,Kreditkarte,35.99,9,18.07.2022,15:54:33
Salih Johann,61,Kreditkarte,49.99,10,18.07.2022,15:56:33
Nicolaus Schomber B.A.,62,Kreditkarte,36.99,4,18.07.2022,15:56:36
Alex Ernst,29,Bar,15.99,4,18.07.2022,16:11:01
Peer Koch II-Scheuermann,65,EC-Karte,46.99,5,18.07.2022,16:14:58
Christl Geisel,65,Kreditkarte,28.99,6,18.07.2022,17:10:42
Ing. Renate Klapp B.A.,34,Kreditkarte,16.99,1,18.07.2022,17:47:46
Ing. Gülten Kraushaar,31,EC-Karte,19.99,3,18.07.2022,17:48:52
Genoveva Hornich-Trüb,21,EC-Karte,16.99,8,18.07.2022,18:33:20
Tanja Bien,33,EC-Karte,23.99,3,18.07.2022,19:12:17
Milica Davids,51,EC-Karte,28.99,3,18.07.2022,19:45:05
Minna Knappe-Dietz,25,EC-Karte,14.99,3,19.07.2022,10:02:05
Hans Peter Hertrampf,19,EC-Karte,20.99,3,19.07.2022,10:09:37
Rahel Wieloch,24,EC-Karte,23.99,6,19.07.2022,10:14:08
Melissa Eigenwillig,24,EC-Karte,23.99,2,19.07.2022,10:48:21
Dora Dietz-Stiebitz,27,EC-Karte,22.99,7,19.07.2022,11:09:02
Malgorzata Schomber,47,EC-Karte,41.99,5,19.07.2022,11:40:46
Dan Jungfer,28,EC-Karte,14.99,4,19.07.2022,11:46:59
Zeynep Herrmann,59,Kreditkarte,39.99,5,19.07.2022,12:29:21
Klaus-Peter Striebitz-Hiller,71,EC-Karte,33.99,4,19.07.2022,12:37:11
Giuseppe Lindau,36,Bar,13.99,5,19.07.2022,12:44:02
Heinfried Flantz,50,Kreditkarte,40.99,5,19.07.2022,12:55:24
Klaus-Werner Juncken B.Sc.,22,Kreditkarte,22.99,3,19.07.2022,13:38:49
Hermann Josef Bolander,25,EC-Karte,17.99,5,19.07.2022,13:41:27
Univ.Prof. Marion Nohlmans,65,Kreditkarte,42.99,5,19.07.2022,13:48:18
Ehrentraud Otto,24,Kreditkarte,29.99,3,19.07.2022,14:47:43
Ing. Attila Weinhold,53,Kreditkarte,38.99,2,19.07.2022,15:09:40
Dorota Kraushaar-Becker,26,Bar,19.99,2,19.07.2022,15:17:46
Klaus Dieter Ernst,32,Bar,29.99,3,19.07.2022,15:23:30
Ing. Frieda Schwital B.A.,27,Bar,20.99,4,19.07.2022,15:29:11
Abdullah Karz,28,Bar,13.99,1,19.07.2022,15:54:36
Hilmar Schomber,55,EC-Karte,44.99,4,19.07.2022,16:15:33
Woldemar Jähn-Johann,52,Kreditkarte,44.99,2,19.07.2022,16:55:52
Walfried Kallert,26,EC-Karte,18.99,2,19.07.2022,18:04:27
Prof. Detlev Geißler,25,Bar,7.99,3,19.07.2022,18:07:55
Reni Geißler MBA.,26,EC-Karte,19.99,1,19.07.2022,18:14:56
Heinz-Willi Martin,28,Bar,19.99,2,19.07.2022,18:32:30
Prof. Ismet Ullmann B.Eng.,51,Bar,40.99,4,19.07.2022,19:33:14
Lilli Bonbach B.Eng.,63,Kreditkarte,35.99,6,20.07.2022,10:52:15
Arnd Mohaupt,30,Kreditkarte,21.99,2,20.07.2022,11:10:15
Uta Jungfer,52,Kreditkarte,30.99,6,20.07.2022,11:22:53
Hans-Werner Warmer,59,Bar,41.99,2,20.07.2022,11:23:52
Sepp Schacht B.Eng.,58,Kreditkarte,45.99,6,20.07.2022,11:35:09
Ing. Marina auch Schlauchin B.Sc.,23,Bar,22.99,5,20.07.2022,12:11:24
Thorsten Plath,51,Kreditkarte,33.99,4,20.07.2022,12:29:18
Meik Jockel,57,Bar,39.99,3,20.07.2022,12:45:43
Univ.Prof. Silvia Schäfer,25,EC-Karte,28.99,4,20.07.2022,13:17:59
Kamil Fischer,31,Kreditkarte,15.99,1,20.07.2022,13:40:49
Ernest Stroh B.Sc.,37,Bar,17.99,2,20.07.2022,13:45:46
Paulina Winkler,21,Bar,23.99,5,20.07.2022,13:46:43
Ljubica Pruschke-Rose,46,Kreditkarte,38.99,4,20.07.2022,13:46:56
Senta Peukert,56,Bar,36.99,7,20.07.2022,14:27:40
Dipl.-Ing. Gabor Becker,26,EC-Karte,23.99,5,20.07.2022,14:41:21
Marika Koch,28,EC-Karte,20.99,4,20.07.2022,14:47:05
Univ.Prof. Stephen Tlustek MBA.,65,Bar,38.99,8,20.07.2022,15:00:08
Alessandro Thies B.A.,24,Kreditkarte,21.99,4,20.07.2022,15:05:02
Lilli Seip,52,Bar,47.99,3,20.07.2022,15:09:24
Alina Rörricht,63,EC-Karte,42.99,5,20.07.2022,15:24:59
Dipl.-Ing. Sinaida Koch MBA.,35,EC-Karte,22.99,6,20.07.2022,16:12:30
Kristian Wilms,23,Bar,20.99,7,20.07.2022,17:07:27
Monika Kreusel,59,Kreditkarte,38.99,3,20.07.2022,17:13:18
Katrin Killer,56,Bar,32.99,5,20.07.2022,18:01:34
Annelise Adler,51,Bar,48.99,7,20.07.2022,19:11:34
Giovanna Gnatz,26,Bar,21.99,2,20.07.2022,19:19:50
Fredi Killer,29,Kreditkarte,21.99,6,20.07.2022,19:22:37
Dipl.-Ing. Jacob Gotthard MBA.,62,EC-Karte,37.99,6,20.07.2022,19:58:12
Herr Frieder Löchel,35,EC-Karte,34.99,2,21.07.2022,10:47:47
Dittmar Keudel B.A.,36,Bar,11.99,2,21.07.2022,11:42:37
Karlfried Seifert,31,EC-Karte,15.99,1,21.07.2022,12:05:02
Desiree Scholtz,55,EC-Karte,33.99,2,21.07.2022,12:24:34
Sandy Gutknecht,25,Kreditkarte,23.99,3,21.07.2022,12:45:05
Martha Loos,33,Kreditkarte,16.99,2,21.07.2022,12:46:25
Barbara Schacht,57,Bar,33.99,3,21.07.2022,13:19:40
Leyla Schenk,55,Bar,37.99,4,21.07.2022,13:23:43
Prof. Raik Gnatz B.Eng.,37,EC-Karte,28.99,3,21.07.2022,13:57:18
Univ.Prof. Ingeborg Geißler MBA.,57,Bar,38.99,4,21.07.2022,14:15:56
Dr. Friedrich-Karl Scholtz B.Sc.,54,Kreditkarte,42.99,5,21.07.2022,14:22:21
Traudl Becker,29,EC-Karte,15.99,2,21.07.2022,14:30:53
Lieselotte Briemer,51,EC-Karte,38.99,3,21.07.2022,14:34:15
Ing. Wilfriede Kohl B.Sc.,56,Bar,35.99,4,21.07.2022,14:47:50
Margaret Mohaupt,79,EC-Karte,47.99,8,21.07.2022,14:57:09
Jiri Sorgatz,54,Kreditkarte,36.99,4,21.07.2022,15:08:37
Jörgen Döhn,31,Kreditkarte,16.99,4,21.07.2022,16:22:56
Gotthard Sölzer-Tschentscher,56,Bar,34.99,2,21.07.2022,16:40:40
Juliana Meyer-Briemer,27,Bar,18.99,5,21.07.2022,16:48:21
Doreen Häring-Speer,24,EC-Karte,19.99,3,21.07.2022,17:09:28
Erik Gutknecht,30,Kreditkarte,26.99,2,21.07.2022,17:41:12
Paul-Heinz Häring,60,Kreditkarte,45.99,3,21.07.2022,18:19:47
Mirko Seidel B.Sc.,66,Bar,41.99,5,21.07.2022,18:28:06
Curt Schuchhardt-Hornich,30,Bar,20.99,6,21.07.2022,18:47:31
Hans Kallert MBA.,63,Bar,25.99,4,21.07.2022,19:09:59
Patricia Dietz,29,Bar,25.99,2,21.07.2022,19:30:31
Mary Süßebier,49,Bar,46.99,4,21.07.2022,19:42:12
Astrid Otto,36,EC-Karte,14.99,3,22.07.2022,10:14:06
Angelique Jüttner,71,EC-Karte,45.99,3,22.07.2022,10:39:50
Mariele Binner,50,EC-Karte,31.99,3,22.07.2022,11:25:25
Angelo Gute,26,Bar,27.99,2,22.07.2022,11:31:09
Leander Hesse,26,EC-Karte,18.99,7,22.07.2022,11:32:28
Prof. Abram Baum,34,EC-Karte,32.99,3,22.07.2022,12:09:03
Klaus-Günter Seifert B.A.,53,Kreditkarte,53.99,2,22.07.2022,12:44:18
Adolfine Geißler-Rogner,29,EC-Karte,14.99,5,22.07.2022,13:15:34
Metin Jüttner B.Sc.,70,EC-Karte,47.99,2,22.07.2022,13:32:00
Magret Holzapfel,56,EC-Karte,40.99,4,22.07.2022,13:48:38
Dora Rudolph,49,EC-Karte,39.99,4,22.07.2022,13:58:34
Katja Zorbach-Barth,26,EC-Karte,22.99,2,22.07.2022,15:13:41
Dominik Geisler,27,Kreditkarte,13.99,3,22.07.2022,15:29:00
Prof. Athanasios Jäkel,33,EC-Karte,18.99,3,22.07.2022,15:42:28
Miriam Thies,65,Kreditkarte,40.99,3,22.07.2022,15:55:03
Magnus Beckmann,48,Bar,38.99,7,22.07.2022,16:00:22
Hellmut Siering,50,EC-Karte,36.99,5,22.07.2022,16:19:31
Kordula Steinberg,61,Bar,38.99,5,22.07.2022,17:03:44
Dipl.-Ing. Manja Schönland,31,Kreditkarte,22.99,5,22.07.2022,17:06:15
Wera Seidel,55,EC-Karte,59.99,5,22.07.2022,17:08:53
Sven Mentzel,57,EC-Karte,45.99,1,22.07.2022,17:13:09
Branka Schleich B.A.,29,Bar,28.99,3,22.07.2022,18:04:12
Marietta Striebitz-Süßebier,59,Bar,46.99,3,22.07.2022,18:10:19
Christa Losekann B.A.,32,Bar,19.99,4,22.07.2022,18:27:53
Univ.Prof. Dusan Hamann MBA.,46,Bar,43.99,5,22.07.2022,19:21:56
Katalin Gutknecht,61,Bar,40.99,7,22.07.2022,19:27:44
Traugott Eckbauer,45,Kreditkarte,33.99,5,22.07.2022,19:42:47
Filippo Barth,49,EC-Karte,39.99,7,22.07.2022,19:47:25
Karl-Friedrich Jüttner,42,Kreditkarte,19.99,1,23.07.2022,10:20:57
Juliana Wohlgemut B.Sc.,36,Bar,24.99,3,23.07.2022,10:42:00
Gerard Bohnbach,44,Bar,43.99,6,23.07.2022,11:00:12
Fredo Stiffel-Heydrich,64,Bar,44.99,3,23.07.2022,11:55:41
Leni Kramer,22,Bar,19.99,2,23.07.2022,11:56:06
Ing. Alois Neuschäfer B.Sc.,26,EC-Karte,16.99,3,23.07.2022,12:48:57
Cornelius Klapp,69,Bar,40.99,6,23.07.2022,13:00:47
Ing. Annett Pergande B.A.,32,Bar,24.99,5,23.07.2022,13:02:50
Carolin Weinhage,62,Bar,50.99,5,23.07.2022,13:22:25
Agnes Schüler-Roht,72,Kreditkarte,34.99,3,23.07.2022,13:33:54
Moritz Bruder,55,Kreditkarte,38.99,1,23.07.2022,14:07:50
Roland Jähn,33,EC-Karte,22.99,3,23.07.2022,15:02:19
Prof. Lukas Ruppert,22,Bar,19.99,3,23.07.2022,15:17:09
Prof. Erkan Dussen van B.A.,24,Kreditkarte,21.99,4,23.07.2022,15:58:16
Antonietta Heintze,62,Kreditkarte,40.99,5,23.07.2022,15:59:06
Prof. Hans Peter Budig B.Eng.,52,EC-Karte,43.99,4,23.07.2022,16:08:03
Bertram Mangold-Kobelt,27,Kreditkarte,23.99,2,23.07.2022,16:36:28
Univ.Prof. Telse Bolander MBA.,30,Bar,18.99,1,23.07.2022,16:45:41
Dipl.-Ing. Jacek Stey,30,Bar,22.99,3,23.07.2022,16:51:47
Silvana Rosenow,57,Kreditkarte,44.99,7,23.07.2022,17:23:22
Univ.Prof. Janin Börner,49,EC-Karte,41.99,4,23.07.2022,17:31:44
Klaus-Günter Reuter-Reuter,57,Kreditkarte,36.99,7,23.07.2022,17:43:38
Cecilia Henschel B.Eng.,23,EC-Karte,22.99,1,23.07.2022,18:03:31
Ing. Maria Adler,51,Bar,34.99,5,23.07.2022,18:17:16
Lissi Stroh,66,Kreditkarte,32.99,6,23.07.2022,18:25:22
Annelene Kensy,28,Bar,21.99,1,23.07.2022,18:41:32
Athanasios Scholtz,48,Bar,31.99,7,23.07.2022,18:44:35
Wenke Scheibe,54,Bar,45.99,6,24.07.2022,10:13:03
Marika Karge,62,EC-Karte,33.99,4,24.07.2022,10:20:03
Mirjana Tröst,63,Bar,36.99,4,24.07.2022,10:48:48
Herr Eberhard Bruder MBA.,21,Bar,17.99,5,24.07.2022,10:53:29
Dariusz Mälzer,30,EC-Karte,14.99,1,24.07.2022,11:10:32
Lea Pruschke,37,EC-Karte,16.99,3,24.07.2022,11:14:22
Helmut Radisch,33,Kreditkarte,14.99,2,24.07.2022,12:44:13
Dipl.-Ing. Tania Riehl,59,EC-Karte,38.99,3,24.07.2022,13:14:41
Joachim Heidrich,21,Kreditkarte,23.99,3,24.07.2022,13:20:19
Nick Pruschke,28,EC-Karte,19.99,2,24.07.2022,14:11:10
Georgios Seifert MBA.,32,Kreditkarte,20.99,2,24.07.2022,14:46:44
Constance Wiek B.A.,25,Kreditkarte,23.99,3,24.07.2022,14:56:13
Berit Schmiedecke-Schleich,17,Bar,18.99,4,24.07.2022,15:06:19
Valeska Schäfer,39,Kreditkarte,19.99,2,24.07.2022,15:39:00
Prof. Hans Jörg Mies,53,EC-Karte,40.99,6,24.07.2022,15:57:07
Horst Dörschner,60,Bar,33.99,6,24.07.2022,16:12:29
Ferdinand Otto,53,Kreditkarte,47.99,6,24.07.2022,16:38:35
Laura Margraf,54,Kreditkarte,37.99,9,24.07.2022,16:43:35
Monica Gumprich,62,EC-Karte,45.99,6,24.07.2022,17:20:38
Rosa Zirme,64,Kreditkarte,47.99,7,24.07.2022,17:23:16
Eleonore Mende,50,EC-Karte,41.99,4,24.07.2022,17:43:54
Frau Birgid Kranz,50,Bar,33.99,7,24.07.2022,17:45:54
Annelene Adler MBA.,24,Kreditkarte,20.99,2,24.07.2022,17:52:10
Knut Budig,32,Bar,16.99,3,24.07.2022,18:27:45
Baldur Buchholz B.Sc.,48,Kreditkarte,35.99,4,24.07.2022,18:37:38
Magrit Scholl,32,Kreditkarte,14.99,2,24.07.2022,19:42:57
Ing. Theodoros Rust B.Eng.,28,Bar,25.99,3,24.07.2022,19:50:25
William Hörle,55,EC-Karte,39.99,7,24.07.2022,19:55:51
Prof. Felizitas Hamann,56,Kreditkarte,27.99,9,25.07.2022,12:07:10
Ing. Konstantinos Meyer,59,Kreditkarte,54.99,5,25.07.2022,12:51:04
Ing. Marcus Gnatz B.A.,30,Bar,19.99,3,25.07.2022,13:02:13
Malgorzata Girschner MBA.,55,Kreditkarte,34.99,5,25.07.2022,13:16:58
Anto Jopich,55,Kreditkarte,44.99,6,25.07.2022,13:36:41
Wilfried Jäntsch,30,EC-Karte,36.99,9,25.07.2022,14:02:51
Frau Susanna Eimer B.Sc.,29,Bar,15.99,3,25.07.2022,14:15:57
Lea Albers,62,Bar,35.99,7,25.07.2022,14:35:01
Prof. Doreen Bähr B.Sc.,57,Kreditkarte,51.99,5,25.07.2022,14:36:35
Bernard Schuster,59,Bar,36.99,7,25.07.2022,14:37:32
Sevim Kade,56,Bar,36.99,3,25.07.2022,15:41:38
Nadin Heinz,57,Bar,40.99,6,25.07.2022,16:34:07
Karola Stoll B.Sc.,59,Kreditkarte,42.99,6,25.07.2022,17:04:07
Hanspeter Ziegert,56,Bar,34.99,5,25.07.2022,17:04:26
Mahmoud Schulz-Bolander,25,Kreditkarte,22.99,6,25.07.2022,17:25:48
Anneli Vogt,51,Bar,32.99,6,25.07.2022,17:31:32
Klaus Dieter Dehmel,56,Kreditkarte,53.99,3,25.07.2022,17:39:19
Dipl.-Ing. Erdal Hermighausen B.Sc.,54,EC-Karte,33.99,6,25.07.2022,17:46:45
Karolin Kuhl,33,Bar,21.99,3,25.07.2022,18:21:29
Dr. Viola Jüttner B.Sc.,69,Bar,44.99,4,25.07.2022,18:37:51
Karina Noack,36,Kreditkarte,21.99,5,25.07.2022,18:46:23
Frau Gundula Täsche,21,Bar,18.99,1,25.07.2022,18:47:54
Attila Wohlgemut,51,Bar,39.99,7,25.07.2022,18:57:00
Siegried Wende-Peukert,39,EC-Karte,22.99,3,25.07.2022,18:57:26
Mariechen Stolze,52,EC-Karte,41.99,3,25.07.2022,19:23:16
Rose-Marie Seifert,67,EC-Karte,43.99,8,25.07.2022,19:30:42
Lisa Dussen van,26,Kreditkarte,19.99,7,25.07.2022,19:41:16
Gönül Seip,26,Kreditkarte,28.99,4,26.07.2022,10:38:23
Meinolf Textor,57,EC-Karte,41.99,8,26.07.2022,10:44:45
Annie Hoffmann,54,Bar,48.99,3,26.07.2022,11:09:04
